0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11:50,Fin,ATP-S,AUS-OPEN,R128,,SHAPOVALOV D. (CAN),11,,SINNER J. (ITA),,3-6,6-3,6-2,4-6,6-4,3-2,,
11:35,Fin,ATP-S,AUS-OPEN,R128,,DJOKOVIC N. (SRB),1,,CHARDY J. (FRA),,6-3,6-1,6-2,,,3-0,,
11:00,Fin,ATP-S,AUS-OPEN,R128,,DANIEL T. (JPN),LL,,CRESSY M. (USA),Q,6-7,6-7,4-6,,,0-3,,
10:15,Fin,ATP-S,AUS-OPEN,R128,,FERREIRA SILVA F. (POR),Q,,KYRGIOS N. (AUS),,4-6,4-6,4-6,,,0-3,,
09:45,P1Ret,ATP-S,AUS-OPEN,R128,,SUGITA Y. (JPN),,,TOMIC B. (AUS),Q,6-3,1-6,1-4,,,1-1,,
08:55,Fin,ATP-S,AUS-OPEN,R128,,STEBE C-M. (GER),LL,,AUGER-ALIASSIME F. (CAN),20,2-6,4-6,2-6,,,0-3,,
08:55,Fin,ATP-S,AUS-OPEN,R128,,YMER E. (SWE),Q,,SCHWARTZMAN D. (ARG),8,6-7,4-6,6-2,2-6,,1-3,,
08:50,Fin,ATP-S,AUS-OPEN,R128,,DIMITROV G. (BUL),18,,CILIC M. (CRO),,6-4,6-2,7-6,,,3-0,,
08:50,Fin,ATP-S,AUS-OPEN,R128,,KOEPFER D. (GER),,,DELLIEN H. (BOL),LL,7-5,6-2,6-4,,,3-0,,
08:50,Fin,ATP-S,AUS-OPEN,R128,,STAKHOVSKY S. (UKR),Q,,LAJOVIC D. (SRB),23,7-5,4-6,3-6,7-5,4-6,2-3,,
08:20,Fin,ATP-S,AUS-OPEN,R128,,TIAFOE F. (USA),,,TRAVAGLIA S. (ITA),,7-6,6-2,6-2,,,3-0,,
08:00,Fin,ATP-S,AUS-OPEN,R128,,NISHIKORI K. (JPN),,,CARRENO BUSTA P. (ESP),15,5-7,6-7,2-6,,,0-3,,
07:25,Fin,ATP-S,AUS-OPEN,R128,,MULLER A. (FRA),LL,,LONDERO J.I. (ARG),,4-6,6-3,6-0,6-3,,3-1,,
